,year,World,OECD,G7,BRICS,Europe,European Union,Belgium,Czech Republic,France,Germany,Italy,Netherlands,Poland,Portugal,Romania,Spain,Sweden,United Kingdom,Norway,Turkey,CIS,Kazakhstan,Russia,Ukraine,Uzbekistan,America,North America,Canada,United States,Latin America,Argentina,Brazil,Chile,Colombia,Mexico,Venezuela,Asia,China,India,Indonesia,Japan,Malaysia,South Korea,Taiwan,Thailand,Pacific,Australia,New Zealand,Africa,Algeria,Egypt,Nigeria,South Africa,Middle-East,Iran,Kuwait,Saudi Arabia,United Arab Emirates
20,2010,12770.593283556,3903.447393104,2674.221028221,4422.61689921,1116.810646836,843.5884369390001,15.572501409,32.054196129,135.607962458,129.132497303,33.222041723,71.171106418,67.387164215,5.791884855,27.5182329,34.628755086,32.813829533,148.493694383,202.996830251,31.593555296,1691.964017393,156.878190991,1279.033570537,78.812303202,54.90093469200001,3130.882052683,2124.427541988,399.419510621,1725.008031367,1006.454510694,79.510595028,247.658910409,9.222643958,105.932309787,222.575199769,197.934287814,3723.494921629,2236.15824047,503.823885456,378.369700221,103.337290366,89.269305892,50.521541969,12.956803158,70.585115873,343.159877044,323.338750746,17.108745976,1135.708283736,150.510020594,84.48926309,253.972294424,155.942292339,1628.573484236,342.241673333,134.555875685,531.443562656,177.741645095
21,2011,13098.999747593,3883.757489216,2677.766615501,4611.397032211,1076.578272142,810.931591163,16.122140714,32.614102378,136.024611469,123.067620726,32.154583106,66.42751705799999,68.385905123,5.520699394999999,27.621043065,32.207161101,32.67778191,129.874345143,195.185602884,30.988010941,1736.874729839,160.269654099,1299.039366697,85.567412437,56.915875941,3230.33456491,2201.248698329,414.117651405,1787.131046925,1029.08586658,77.95323659,249.989027422,9.882606142,120.364809854,223.776744802,198.973242245,3892.828418764,2385.818418666,521.593549427,420.774304924,55.396756726,87.380468932,53.027181146,13.558882029,68.680946847,331.468482045,312.7721176270001,16.343415629,1063.196264866,145.831707373,83.65092915900001,259.093192478,154.956669999,1767.719015028,345.652496465,154.202671725,592.679074648,197.429857897
22,2012,13276.038341434,3910.577626154,2691.102065645,4650.255113376,1073.25455241,803.1994763990001,14.185696625,32.674867814,134.934935446,123.09789612,35.168374316,66.106937631,71.73839801999999,4.716862725,27.240739712,33.735934241,35.5853915,116.679972325,200.196412129,30.661025706,1758.838082753,164.637372543,1315.652663543,85.273169707,56.454091727,3277.968107354,2248.885827562,427.900607355,1820.985220207,1029.082279792,75.865645378,251.286979287,13.019880428,124.528989348,218.586263304,194.470485417,3909.229592057,2401.488991286,524.368835676,433.202476373,32.335059875,86.740971965,53.29715879,13.273898293,75.455874222,339.536183395,320.937002643,16.240959349,1124.779183304,143.76286867,82.13545592300001,265.884368949,157.457643585,1792.432640161,297.390111808,173.109416407,625.001774395,204.807764676
23,2013,13464.607737646,4000.983726484,2762.722442852,4730.32661903,1059.167920771,797.705051106,15.008099129,30.591347883,136.716819277,120.942495487,36.972383231,69.75912790000001,71.48620298600001,5.821121779,25.9733873,34.972969152,34.590130517,109.545465978,191.35212231,29.472484885,1785.968679651,169.072950196,1330.823381951,86.235392369,53.642860048,3358.782175477,2326.796525638,448.229565522,1878.566960116,1031.985649839,72.472195529,252.639289132,14.605435817,127.662806659,216.337767805,191.783959951,4000.567959867,2467.346709938,522.3548680709999,452.757186668,31.748753242,92.38273984700001,51.275222115,13.541735708,78.749778232,365.935318437,345.940687857,16.333470994,1083.577571462,137.668709261,77.278989443,251.432574958,157.162369938,1810.608111981,297.933731741,170.33841698,614.481491106,212.248619822
24,2014,13692.111692033,4162.4589262,2919.277709802,4785.959284879,1042.095576756,780.585331352,12.653029743,29.819296765,138.10771559,120.224085425,36.888376616,60.299860121,67.901319108,6.045745408,26.447532972,35.360901222,34.279829529,107.934137127,194.71812193,29.049481754,1765.177044051,166.286001345,1319.254792026,77.265873702,55.32248889700001,3520.709061562,2486.134450395,470.33160288,2015.802847516,1034.574611166,72.932387433,266.622084799,12.380117015,130.084537536,208.567016169,183.804611658,4062.829646037,2507.263198803,533.168659261,449.8986987710001,29.98894465,93.944192919,57.526130077,13.63672261,79.410047318,391.3619044020001,367.068892913,17.186876135,1073.866686039,143.196478224,73.951405458,255.822716617,159.650549991,1836.071773186,316.328651474,166.408683696,622.4213418019999,214.604015966
25,2015,13777.122865449,4183.923016321,2948.128928385,4822.853534198,1046.706495387,773.043051904,10.721520813,28.891564793,138.753510265,120.083242367,36.288018153,47.926741436,68.522285103,5.368086938,26.53799375,33.86389497899999,33.807814408,118.083630567,203.68728319,31.943338032,1767.871721946,164.080100129,1334.258521281,64.410493158,55.249424773,3522.436874503,2501.109810725,473.0097575,2028.100053225,1021.327063779,73.76657279400001,278.092499103,12.083862067,128.098071009,189.640582393,183.352647173,4058.865187538,2515.699480596,538.228658422,426.8532925980001,33.810716308,95.680253973,61.735653967,12.313121427,75.84740351800001,409.957082809,382.557929585,16.742192685,1072.814055604,142.757219823,69.526490591,256.207993912,156.574374796,1898.471447662,322.660688891,167.846153169,648.6187557850001,229.629211507
26,2016,13720.349315826,4084.820906314,2839.559867568,4730.332674417999,1043.625464972,760.944820302,15.336427938,27.369485314,131.427002454,116.062838432,33.72034679,46.084806317,67.246815869,6.06593469,24.947737195,34.421929114,34.757095041,120.060287888,208.01272185,36.255448042,1795.075048714,162.686934125,1373.47522904,63.44634762,50.391940787,3401.048499244,2401.59443749,480.498191019,1921.096246471,999.454061754,75.756316843,284.718415875,12.5462563,124.312627827,180.454767151,167.938087606,3946.227522695,2363.608951039,551.078972939,434.353976963,36.694954515,97.042017071,62.37674426,10.863026147,79.478659306,416.386021213,388.963434772,16.228509577,1061.11180247,153.252740871,70.16517009,241.275386315,157.451105525,2056.874956518,391.195715503,174.217911593,670.573827361,236.643795702
27,2017,14026.519720058,4200.950996828,2950.877202017,4888.970312969001,1045.693962773,756.111999462,15.092798534,27.713371125,129.752180767,115.082567118,34.20636942399999,41.770011588,64.828505828,5.317533525,25.555681413,33.917601574,35.997792056,120.14403673,215.001867059,37.064554396,1861.46618763,179.968354751,1429.030078709,58.810512411,50.670304373,3480.227147889,2508.670225391,510.591916224,1998.078309167,971.556922497,74.279612223,293.739837537,13.021600341,123.482625689,164.872474604,150.581721681,4050.458942202,2453.887912295,554.444866671,448.352687015,43.02182258600001,96.388217436,61.897578807,8.425676044,75.64321873,432.908686188,405.120683562,16.022193807,1110.523872091,152.826778206,78.25757209400001,249.508528218,157.867617757,2045.240921286,422.728592303,162.191256702,646.726650854,229.414029732
28,2018,14504.961861143,4406.103587233,3164.381239094,5077.145163282001,1040.015901075,750.785185809,11.627725309,27.801713102,135.856446766,109.895044696,34.911049456,36.406590595,62.143305698,5.971729604,25.116161024,34.407421688,36.726721494,124.283330535,206.78893841,42.032450357,1921.497838324,186.446030483,1476.831205683,60.584588038,53.543472245,3634.139792057,2707.398280989,531.714013951,2175.684267038,926.741511068,75.975257527,295.953827193,13.468140285,120.241589986,154.166108586,115.455742978,4261.725644116001,2570.237042788,576.4192715290001,503.8967624640001,52.037086652,94.573927779,60.565529402,9.787330733000001,73.675868729,446.126584278,419.7715398460001,15.538404359,1141.708679281,152.253825005,87.47392550100001,255.933148227,157.703816088,2059.747422013,407.956546904,164.798433708,665.4924191939999,232.989978344
29,2019,14715.376056942,4531.991036169,3282.423580409,5238.473084785001,1010.80931915,725.947596148,15.657300551,26.756512429,132.225579971,103.382193531,33.721808843,33.018803457,59.331591478,5.778711631,25.089827266,34.446682536,35.158130538,121.894109062,195.475030222,47.820581881,1953.940009998,186.204443153,1505.640181112,59.895442196,53.002249527,3738.817243969,2833.121439453,530.1131579690001,2303.008281484,905.695804516,80.922437262,309.794968029,13.778947751,120.131512235,146.625853085,83.80715335,4392.285887266,2684.392803107,576.689286905,500.667880566,58.07844954799999,91.681712397,64.70137781,11.197284063,75.532425071,471.113536491,443.1885485070001,15.71773692,1163.355380868,145.110738926,92.646416741,264.231453985,161.955845632,1985.054679199,348.410232259,163.083408175,636.5385598519999,237.684141918
