,year,World,OECD,G7,BRICS,Europe,European Union,Belgium,Czech Republic,France,Germany,Italy,Netherlands,Poland,Portugal,Romania,Spain,Sweden,United Kingdom,Norway,Turkey,CIS,Kazakhstan,Russia,Ukraine,Uzbekistan,America,North America,Canada,United States,Latin America,Argentina,Brazil,Chile,Colombia,Mexico,Venezuela,Asia,China,India,Indonesia,Japan,Malaysia,South Korea,Taiwan,Thailand,Pacific,Australia,New Zealand,Africa,Algeria,Egypt,Nigeria,South Africa,Middle-East,Iran,Kuwait,Saudi Arabia,United Arab Emirates
20,2010,12842.906504481,5433.768709552,3948.278333512,4324.162759303,1926.294962495,1728.169948219,59.818236488,45.096386837,262.807619896,326.54093591,173.938023053,82.717138116,100.759363512,23.490576344,35.074488516,127.95154484,50.873207564,203.614463787,29.672694741,105.67636666,1007.98949824,69.12181409600001,688.055077092,132.273947961,42.496998345,3266.010938448,2478.221192904,260.82299252400003,2217.398200379,787.789745545,78.66724031300001,267.129918187,30.861031356,31.20337875,178.571076421,72.410815321,4824.488745194,2536.377835274,700.777572854,206.282433066,503.156097962,73.35848484,255.598300176,110.794490481,117.848603459,150.248312162,127.294509926,18.595857455,664.094236746,40.086032124,73.015747007,127.370608661,131.822355895,645.9706125939999,204.286060811,32.085610647,185.489679396,60.985972088
21,2011,13039.537562953,5337.483493041001,3847.53984312,4572.928014759001,1868.584691285,1665.487854717,55.97153250100001,43.496041457,257.044904863,310.061331417,168.163094722,76.975213322,101.248657236,22.835713259,35.85218419900001,125.940873043,49.573442661,188.824564408,26.673980662,112.470234152,1043.17231258,77.31318206,710.918852395,126.431454877,46.507801649,3262.48490811,2457.772643574,266.442602345,2191.33004123,804.712264535,80.539912318,271.043000836,33.614972166,31.252269538,186.980880847,67.251672643,5010.901343877,2722.605407643,733.776061669,198.329219664,465.673304135,76.124013698,266.5131936880001,109.409306484,117.709333969,151.021169861,128.193042784,18.53036349,691.3001834380001,41.81697557,76.177783207,138.906217524,134.584692216,648.949432467,208.31774479,31.014961458,176.711504888,60.344992207
22,2012,13244.579258273,5298.053009453,3801.159404851,4725.527425262,1858.450753824,1651.530366346,53.49269788300001,43.212304153,257.07780011,311.371210973,161.527680751,77.065280129,98.07999204500001,21.449381493,34.983856259,125.744774374,50.079151828,193.847177973,27.771662364,117.776780203,1058.755847754,73.86746318399999,727.9372612029999,122.388861388,47.923251181,3254.093326738,2421.560049716,269.278304111,2152.281745605,832.5332770220001,81.015904967,281.374034807,37.200395212,31.545669739,191.779164635,73.12004403200001,5165.819443055,2820.686418738,766.468660515,208.155749993,455.775485329,77.511005601,270.513941534,106.543116836,126.206900929,150.617579409,126.6772665,19.397961444,706.61722218,45.96448120599999,78.518333141,140.266107552,129.061049999,700.72776717,216.752746499,34.429780521,199.378273635,63.836595193
23,2013,13415.708717798,5330.771290007,3843.481520731,4819.371488127,1839.996831766,1633.171786021,55.634448879,43.182574572,258.081559879,318.124037236,155.580255026,75.443933771,98.185151964,21.564406192,31.955367724,117.352608753,49.268144789,191.037879164,28.841054914,115.13044522,1030.698047948,81.533708646,706.4588882420001,116.047199116,42.953027324,3315.384358155,2464.154777687,273.88429608,2190.270481607,851.229580468,83.143719721,293.795099048,38.491072793,38.683665828,192.076428513,68.812013639,5305.084313051,2911.629086975,779.1304876830001,212.954516186,456.503011738,87.335572006,271.502736986,108.303190606,135.66115332,151.833491136,127.472165442,19.499836171,717.505026383,47.578944004,76.98241716700001,142.935909949,128.35792618,703.498783061,220.96846933,33.73184360600001,191.366695131,67.24578881500001
24,2014,13595.447326912,5287.130079904,3820.119608933,4934.513702866,1778.488809915,1572.033417972,52.592384683,41.935691522,248.034291571,306.214901031,146.949887431,71.122783182,94.640531504,21.233789323,31.641903581,114.817706048,48.180073691,179.983382443,28.684481704,119.198244321,1019.155713281,76.927028503,706.8170334609999,105.620226493,43.417810336,3351.714037391,2497.326556099,280.885834197,2216.440721902,854.3874812920001,83.506151866,303.00265766,34.749212836,38.810728762,188.428725936,65.490761105,5425.868360089001,2965.952037468,822.453383984,224.29198117,441.610590358,89.02640860700001,276.822519765,110.257614592,134.761293919,151.842734138,126.258469736,20.69321045,753.843997295,51.762692172,79.648960972,146.561567772,136.288590293,750.589673846,237.159528551,31.962873092,213.362780027,74.280759837
25,2015,13637.206992922,5288.712824557,3803.151886798,4945.754159066,1808.345741146,1590.938324581,52.477889296,41.987296686,251.784661733,308.307256203,152.738757481,72.119982933,95.550043643,22.027733025,31.911865153,119.175303789,44.790309033,181.664272549,28.762433199,129.08470909,987.110979722,78.098716005,692.40678738,92.780964619,38.565615365,3321.236635951,2474.78556781,281.677030254,2193.108537556,846.4510681410001,85.56108216999999,297.147619606,35.513976878,38.699670729,184.934152291,59.977623043,5477.801166146,2993.721448179,835.4396827229999,224.746984248,433.871371023,85.06514487000001,283.00696704,109.096187912,135.39223506,152.397330263,126.687347265,20.826120494,748.217496834,54.2836318,79.301323809,145.226790581,127.038621177,760.838549584,237.233407854,34.523522825,221.70647531,77.911521623
26,2016,13720.260654761,5292.064150372999,3768.77261675,4960.730514424,1826.429308273,1600.751479066,55.600946737,41.455951455,247.284444773,310.227036462,151.165706181,73.643429853,99.81923954199999,21.864752862,31.857133368,120.12732185,49.229130755,179.105867822,27.722510038,136.86124305,1006.591058959,81.64952405599999,714.186117479,91.499407037,33.865001654,3290.226726012,2452.029973824,283.09910439,2168.930869434,838.196752188,86.294041535,286.170906537,37.813034137,40.848981473,184.887384796,55.609906506,5517.974120386,2977.411446319,852.7835846150001,229.641590258,428.959587688,88.300324399,293.348854671,109.663820526,138.947663872,154.046247166,128.243865538,20.584958584,765.600340447,53.73810613,85.799686963,149.809015952,130.178459474,764.8565818120001,244.793018672,36.381200893,210.106746286,78.535105515
27,2017,13969.975054078,5320.045084045,3772.11224891,5106.267039657,1858.242273834,1620.525373504,55.249267971,43.291107048,247.029651123,311.358727534,153.619991153,74.19914964600001,104.398270195,22.830194144,33.392045814,126.290921317,49.21889864,175.834214022,28.929704606,146.967510837,1027.139798242,85.154784577,732.3909875779999,89.400218274,33.820627886,3280.483586071,2450.500870445,289.547713267,2160.953157177,829.982715626,85.33638297399999,291.251124354,38.387557877,38.355499438,180.081781639,49.83276114,5671.300547225001,3068.623809927,881.934991961,244.048080445,433.768794633,85.334623528,295.045000091,110.082219257,138.14079945,153.024194563,127.024563054,20.707542678,791.463260675,55.509165742,92.750856526,157.338850449,132.066125838,777.79783834,261.558389797,34.021470066,211.29986454,67.698111275
28,2018,14287.07251191,5384.982033064,3834.516540184,5275.334435609,1839.64503841,1603.51114592,52.84579804200001,43.446618396,245.924201081,301.757207537,150.760447214,73.056301399,106.141539339,22.150921496,33.525550008,126.324713542,48.85730857,175.371116577,28.13639499,145.449698399,1071.555804144,89.934698137,765.707501521,92.74033768900001,35.553073539,3354.902852297,2533.017706943,297.883232101,2235.134474842,821.8851453550001,83.609559222,287.012283259,38.92696503,38.859580861,179.85041036,43.784986807,5847.132781546999,3183.01913385,906.297593638,259.948925186,427.685860832,89.136367376,300.610520548,112.426379657,141.258938347,154.016020216,127.818947566,20.280888163,814.294338816,59.295581929,93.59641945,165.229176735,133.297923341,786.6762227170001,271.276546121,34.183895142,204.591710362,68.21450657
29,2019,14378.244170708,5338.417720642999,3786.656340037,5399.735475838,1809.810186196,1573.630852265,54.75058694200001,43.145139727,241.36538567,295.543429086,149.030860578,71.092586625,102.766278428,22.104844525,33.78917261799999,124.800248874,47.068739871,170.816927668,27.211183137,147.022905644,1089.742344402,88.591387666,779.3770342490001,88.771575528,36.654915275,3319.569601323,2508.978301965,295.487554108,2213.490747857,810.591299358,82.498608527,288.291060441,39.201672868,40.453123731,177.52558962,38.689164788,5987.710904505,3283.544550759,913.2171142909999,269.083595665,420.921435069,92.83926437999999,298.134160002,109.692519071,142.461469788,162.45060285,135.905977701,20.17061209,829.375013662,61.955446245,94.56968133000001,167.783217394,135.305716099,776.0956233390001,257.568782869,35.515687937,206.937307508,69.489116861
